SeqIndex,HMDB_ID,Compound,Intercept,Slope,date,source
1,HMDB0000115,Glycolic acid-2TMS,0.0373,1.1743,,Serum-Ribitol
2,HMDB0000243,Pyruvic acid-1TMS,-9999,-9999,,No Source
3,HMDB0000190,Lactic acid,0.0313,1.2841,,Serum-Ribitol
4,HMDB0000161,Alanine,0.0333,0.3,,
5,HMDB0000123,Glycine,-0.0404,1.2,,
6,HMDB0000883,Valine,-0.0512,1,,
7,HMDB0000294,Urea,-0.0094,0.4,,
8,HMDB0002142,Phosphoric acid,0.0088,1.1,,
9,HMDB0000172,L-Isoleucine,-0.0145,1.1,,
10,HMDB0001844,2-Methylsuccinic acid-2TMS,-9999,-9999,,No Source
11,HMDB0000162,Proline,-0.0093,0.7,,
13,HMDB0000254,Succinic acid,-0.0173,0.9,,
14,HMDB0001488,Nicotinic acid,-9999,-9999,,No Source
15,HMDB0000300,Uracil,-0.0348,0.8,,
16,HMDB0000187,Serine,-0.0224,1.2,,
17,HMDB0000167,L-Threonine,-0.0052,1.4,,
18,HMDB0000134,Fumaric acid,0.0646,10.55,,Urine-Cholesterol
19,HMDB0000262,"Pyrimidine, 5-methyl (thymine)",-0.044,1,,
20,HMDB0000744,Malic acid,-0.0039,1.3,,
21,HMDB0000191,Aspartic acid,-0.029,1.4,,
22,HMDB0000148,Glutamine,-0.0053,0.7063,,Serum-Ribitol
23,HMDB0000267,Pyroglutamic acid,-0.0923,3.2598,,
24,HMDB0000020,p-Hydroxyphenylacetic acid-2TMS,0.1738,1.7206,,Urine-Cholesterol
25,HMDB0000500,p-Hydroxybenzoic acid-2TMS,0.0583,3.75051,,Urine-Cholesterol
26,HMDB0000508,Ribitol,NA,NA,,
27,HMDB0001414,Putrescine (nacetyl putrescine),-0.037,0.7,,
28,HMDB0000764,Hydrocinnamic acid,0.0845,1.3006,,Urine-Cholesterol
29,HMDB0000214,L-Ornithine,-0.0804,2.5,,
30,HMDB0000182,lysine,-0.152,3.6,,
31,HMDB0000209,Benzeneacetic acid,-0.0117,1.8,,
32,HMDB0000143,Galactose,-0.0318,3.5,,
33,HMDB0000197,1H-Indole-3-acetic acid,-0.00754,0.68563,,Urine-Cholesterol
34,HMDB0000729,alpha-Hydroxyisobutyric acid-2TMS,0.01497,2.33713,,Urine-Cholesterol
35,HMDB0000215,N-Acetyl-D-glucosamine,-0.0755,3.3556,,Urine-Cholesterol
36,HMDB0000211,Myoinositol,-0.2521,7.1,,
37,HMDB0000220,Palmitic acid,-0.0862,2.2333,,Serum-Ribitol
38,HMDB0001257,Spermidine,-0.2287,4,,
39,HMDB0000827,Stearic acid,-0.0068,0.5903,,Serum-Ribitol
40,HMDB0000929,Tryptophan,-0.2826,2.6,,